İSİM,SÜRE,YIL,ÜLKE,YÖNETMEN,TÜR,DİĞER İSMİ
Systemsprenger – Oyunbozan,125 Dakika,2019,Almanya,Nora Fingscheidt,Dram,System Crasher
Seules Les Bêtes,117 Dakika,2019,Almanya  Fransa,Dominik Moll,Dram  Gerilim  Gizem  Suç,Only the Animals
The Unforgivable – Affedilemez,112 Dakika,2021,ABD  Almanya  Birleşik Krallık,Nora Fingscheidt,Dram  Suç,The Unforgivable
Quo Vadis Aida? – Nereye Gidiyorsun Aida?,101 Dakika,2020,Almanya  Avusturya  Bosna Hersek  Fransa  Hollanda  Norveç  Polonya  Romanya  Türkiye,Jasmila Žbanić,Dram  Savaş  Tarih,Quo Vadis Aida?
Yanco,85 Dakika,1961,Meksika,Servando González,Dram,Yanco
The Collini Case,123 Dakika,2019,Almanya,Marco Kreuzpaintner,Dram  Gerilim  Savaş  Suç,The Collini Case
Le Couteau Sous La Gorge,80 Dakika,1986,Fransa,Claude Mulot,Korku  Suç,Knife Under the Throat
Die Englische Heirat – İngiliz Evliliği,87 Dakika,1934,Almanya,Reinhold Schünzel,Komedi,The English Marriage
Charlotte,92 Dakika,2021,Belçika  Fransa  Kanada,Éric Warin,Animasyon  Biyografi,Charlotte
Lowlife – Sefil Hayat,96 Dakika,2017,ABD,Ryan Prows,Dram  Gerilim  Komedi  Korku  Suç,Lowlife
Amanat,120 Dakika,2022,Rusya,Anton Sivers,Biyografi  Dram  Savaş  Tarih,Amanat
Ali & Ava – Ali ve Ava,95 Dakika,2021,Birleşik Krallık,Clio Barnard,Dram  Romantik,Ali & Ava
The Transformers: The Movie – Transformers: Sinema Filmi,84 Dakika,1986,ABD  Japonya,Nelson Shin,Aile  Aksiyon  Animasyon  Bilim Kurgu  Macera,The Transformers  The Movie
Carter,132 Dakika,2022,Güney Kore,Jung Byung-gil,Aksiyon  Gerilim,Carter
The Animatrix,100 Dakika,2003,ABD  Japonya,Andrew R. Jones,Aksiyon  Animasyon  Bilim Kurgu,The Animatrix
Buba,94 Dakika,2022,Almanya,Arne Feldhusen,Dram  Komedi,Buba
This Much I Know to Be True,105 Dakika,2022,Birleşik Krallık,Andrew Dominik,Belgesel  Müzik,This Much I Know to Be True
After Love – Aşktan Sonra,89 Dakika,2020,Birleşik Krallık,Aleem Khan,Dram,After Love
Notre Dame de Paris – Live Arena di Verona,130 Dakika,2002,İtalya,Gilles Maheu,Dram  Müzik  Romantik,Notre Dame de Paris - Live Arena di Verona
Fruits Basket: Prelude,88 Dakika,2022,Japonya,Yoshihide Ibata,Animasyon  Dram  Romantik,Fruits Basket  Prelude
The King of Staten Island – Staten Adası’nın Kralı,136 Dakika,2020,ABD,Judd Apatow,Dram  Komedi,The King of Staten Island
Cowboy Bebop: Tengoku no Tobira,115 Dakika,2001,ABD  Japonya,Shinichiro Watanabe,Aksiyon  Animasyon  Bilim Kurgu  Dram  Suç,Cowboy Bebop  The Movie
The World’s Fastest Indian – Efsane Adam,127 Dakika,2005,ABD  İsviçre  Japonya  Yeni Zelanda,Roger Donaldson,Biyografi  Dram  Spor,The World's Fastest Indian
Kokuriko-zaka Kara – Tepedeki Ev,91 Dakika,2011,Japonya,Goro Miyazaki,Aile  Animasyon  Dram  Komedi  Romantik,From Up on Poppy Hill
Tenki No Ko,112 Dakika,2019,Japonya,Makoto Shinkai,Animasyon  Dram  Fantastik  Romantik,Weathering With You
Kiga Kaikyô,183 Dakika,1965,Japonya,Tomu Uchida,Dram  Gizem  Suç,A Fugitive from the Past
Muppets Most Wanted – Muppets Aranıyor,107 Dakika,2014,ABD  Birleşik Krallık,James Bobin,Aile  Gizem  Komedi  Macera  Müzik  Suç,Muppets Most Wanted
The Muppets – Muppetlar,120 Dakika,2011,ABD,James Bobin,Aile  Komedi  Macera  Müzik,The Muppets
Muppets from Space – Uzaylı Kuklalar,87 Dakika,1999,ABD,Tim Hill,Aile  Bilim Kurgu  Fantastik  Komedi  Macera,Muppets from Space
Muppet Treasure Island – Muppetlar Define Adası’nda,99 Dakika,1996,ABD  Birleşik Krallık,Brian Henson,Aile  Aksiyon  Komedi  Macera  Müzik  Romantik,Muppet Treasure Island
The Muppet Christmas Carol – Muppetlar’dan Noel Şarkısı,85 Dakika,1992,ABD  Birleşik Krallık,Brian Henson,Aile  Dram  Fantastik  Komedi  Müzik,The Muppet Christmas Carol
The Muppets Take Manhattan – Muppetlar New York’ta,94 Dakika,1984,ABD  Birleşik Krallık,Frank Oz,Aile  Dram  Komedi  Macera  Müzik  Romantik,The Muppets Take Manhattan
The Great Muppet Caper – Muppetlar’dan Büyük Şamata,97 Dakika,1981,ABD  Birleşik Krallık,Jim Henson,Aile  Gizem  Komedi  Macera  Müzik  Suç,The Great Muppet Caper
The Muppet Movie – Muppet Filmi,95 Dakika,1979,ABD,James Frawley,Aile  Komedi  Macera  Müzik,The Muppet Movie
Gremlins 2: The New Batch – Gremlinler 2,106 Dakika,1990,ABD,Joe Dante,Fantastik  Komedi  Korku,Gremlins 2
Gremlins – Gremlinler,106 Dakika,1984,ABD,Joe Dante,Fantastik  Komedi  Korku,Gremlins
Bruiser – Ölümün Maskesi,99 Dakika,2000,ABD  Fransa  Kanada,George A. Romero,Gizem  Korku,Bruiser
Seven Brides for Seven Brothers – Yedi Kardeşe Yedi Gelin,102 Dakika,1954,ABD,Stanley Donen,Dram  Komedi  Müzik  Romantik  Western,Seven Brides for Seven Brothers
Abandoned,102 Dakika,2022,ABD,Spencer Squire,Korku,Abandoned
One Hundred Men and a Girl,84 Dakika,1937,ABD,Henry Koster,Dram  Komedi  Müzik,One Hundred Men and a Girl
Miss Kicki,88 Dakika,2009,İsveç,Håkon Liu,Dram,Miss Kicki
The Devil’s Holiday,80 Dakika,1930,ABD,Edmund Goulding,Dram  Romantik,The Devil's Holiday
Negative Space – Negatif Alan,5 Dakika,2017,Fransa,Max Porter,Animasyon  Dram  Kısa Film,Negative Space
Faya Dayi – Zordur Gitmek,120 Dakika,2021,ABD  Etiyopya  Katar,Jessica Beshir,Belgesel  Dram,Faya Dayi
An Adventure in Space and Time,82 Dakika,2013,Birleşik Krallık,Terry McDonough,Biyografi  Dram  Tarih,An Adventure in Space and Time
Geboren in Absurdistan – Doğum Yeri Absürdistan,116 Dakika,1999,Avusturya,Houchang Allahyari,Dram  Komedi,Born in Absurdistan
Gritt,118 Dakika,2021,Norveç,Itonje Søimer Guttormsen,Dram,Gritt
Vai Avanti Tu Che Mi Vien Da Ridere,92 Dakika,1982,İtalya,Giorgio Capitani,Gerilim  Komedi,Vai Avanti Tu Che Mi Vien Da Ridere
Shi Cheng,95 Dakika,2014,Tayvan,Joe Chien,Aksiyon  Korku,Zombie Fight Club
Honja Saneun Saramdeul – Yalnızlar,91 Dakika,2021,Güney Kore,Hong Sung-eun,Dram,Aloners
Libido,90 Dakika,1965,İtalya,Ernesto Gastaldi,Dram  Gerilim  Suç,Libido
Kamen,83 Dakika,1992,Rusya,Aleksandr Sokurov,Dram  Fantastik,Stone
Corri Uomo Corri – Serseriler Kralı,120 Dakika,1968,Fransa  İtalya,Sergio Sollima,Komedi  Macera  Western,Run Man Run!
Amrapali,119 Dakika,1966,Hindistan,Lekh Tandon,Fantastik  Müzik,Amrapali
Dona Flor e Seus Dois Maridos – Dona Flor ve İki Kocası,110 Dakika,1976,Brezilya,Bruno Barreto,Fantastik  Komedi,Dona Flor and Her Two Husbands
Extinction – İnsanlığın Sonu,112 Dakika,2015,ABD  Fransa  İspanya  Macaristan,Miguel Ángel Vivas,Bilim Kurgu  Dram  Korku,Extinction
La Resa Dei Conti – Kolorado,110 Dakika,1966,İspanya  İtalya,Sergio Sollima,Western,The Big Gundown
Secuestrados – Dehşet Evi,85 Dakika,2010,Fransa  İspanya,Miguel Ángel Vivas,Gerilim  Korku,Kidnapped
Il Sorriso Della iena,89 Dakika,1972,İtalya,Silvio Amadio,Gerilim  Korku,Smile Before Death
Day of the Dead: Bloodline – Ölüm Günü: Kan Bağı,90 Dakika,2017,ABD  Bulgaristan,Hèctor Hernández Vicens,Aksiyon  Bilim Kurgu  Dram  Gerilim  Korku,Day of the Dead  Bloodline
She Freak,83 Dakika,1967,ABD,Byron Mabe,Korku,She Freak
Summer Camp – Yaz Kampı,81 Dakika,2015,ABD  İspanya,Alberto Marini,Korku,Summer Camp
I’ll See You in My Dreams,20 Dakika,2003,Portekiz,Miguel Ángel Vivas,Kısa Film  Korku,I'll See You in My Dreams
Nam-mae-wui yeo-reum-bam – Yola Devam,105 Dakika,2019,Güney Kore,Yoon Dan-bi,Dram,Moving On
Carrie – Sefahat Kurbanı,118 Dakika,1952,ABD,William Wyler,Dram  Romantik,Carrie
Tu Hijo – Oğlumun İntikamı,103 Dakika,2018,İspanya,Miguel Ángel Vivas,Dram,Your Son
Young Man with a Horn – Trompetli Adam,112 Dakika,1950,ABD,Michael Curtiz,Biyografi  Dram  Müzik  Romantik,Young Man with a Horn
Firebird,107 Dakika,2021,Birleşik Krallık  Estonya,Peeter Rebane,Dram  Romantik,Firebird
Love Liza,90 Dakika,2002,ABD,Todd Louiso,Dram  Komedi,Love Liza
Menashe,82 Dakika,2017,Birleşik Krallık,Joshua Z. Weinstein,Dram,Menashe
Deathstalker,80 Dakika,1983,ABD  Arjantin,James Sbardellati,Aksiyon  Fantastik  Macera,Deathstalker
Kunsten å Tenke Negativt – Olumsuz Düşünme Sanatı,79 Dakika,2006,Norveç,Bård Breien,Dram  Komedi,The Art of Negative Thinking
Black Christmas – Kara Noel,98 Dakika,1974,Kanada,Bob Clark,Gerilim  Gizem  Korku,Black Christmas
The Call – Telefon,112 Dakika,2020,Güney Kore,Lee Chung-hyun,Bilim Kurgu  Gerilim  Gizem  Korku  Suç,The Call
Fiddler on the Roof – Damdaki Kemancı,181 Dakika,1971,ABD,Norman Jewison,Aile  Dram  Müzik  Romantik,Fiddler on the Roof
Waterloo – Waterloo Savaşı,134 Dakika,1970,İtalya  SSCB,Sergey Bondarchuk,Aksiyon  Biyografi  Dram  Savaş  Tarih,Waterloo
The Desert Fox: The Story of Rommel – Çöl Tilkisi,88 Dakika,1951,ABD,Henry Hathaway,Biyografi  Dram  Savaş,The Desert Fox
The Desert Rats – Çöl Fareleri,88 Dakika,1953,ABD,Robert Wise,Aksiyon  Dram  Macera  Savaş,The Desert Rats
Crno Seme,82 Dakika,1971,Yugoslavya,Kiril Cenevski,Dram,Black Seed
Still Smokin,91 Dakika,1983,ABD,Tommy Chong,Komedi  Müzik,Still Smokin
Showdown,99 Dakika,1973,ABD,George Seaton,Western,Showdown
Roxie Hart,75 Dakika,1942,ABD,William A. Wellman,Komedi,Roxie Hart
Más Vampiros En La Habana – Havana’daki Vampirler Çoğaldı,80 Dakika,2003,İspanya  Küba,Juan Padrón,Animasyon,More Vampires in Havana
¡Vampiros en La Habana! – Havana’daki Vampirler,69 Dakika,1985,Almanya  İspanya  Küba,Juan Padrón,Animasyon  Komedi  Korku  Romantik,Vampires in Havana
Proof – Kanıt,100 Dakika,2005,ABD,John Madden,Dram  Gizem,Proof
Dawn of the Dead – Ölülerin Şafağı,101 Dakika,2004,ABD  Kanada,Zack Snyder,Aksiyon  Korku,Dawn of the Dead
The Pawnbroker – Tefeci,116 Dakika,1964,ABD,Sidney Lumet,Dram,The Pawnbroker
Malnazidos – Ölüler Vadisi,101 Dakika,2020,İspanya,Alberto de Toro,Aksiyon  Fantastik  Gerilim  Korku  Macera  Savaş,Valley of the Dead
Smoke – Duman,112 Dakika,1995,ABD  Almanya  Japonya,Paul Auster,Dram  Komedi,Smoke
Smoke Signals – Duman İşaretleri,89 Dakika,1998,ABD  Kanada,Chris Eyre,Dram  Komedi,Smoke Signals
Smokey and the Bandit – Çılgın,96 Dakika,1977,ABD,Hal Needham,Aksiyon  Komedi  Macera,Smokey and the Bandit
Up in Smoke,86 Dakika,1978,ABD,Lou Adler,Komedi  Müzik,Up in Smoke
The Dark Half – Hayatı Emen Karanlık,122 Dakika,1993,ABD,George A. Romero,Gerilim  Gizem  Korku,The Dark Half
Holy Smoke – Kutsal Duman,115 Dakika,1999,ABD  Avustralya,Jane Campion,Dram  Komedi,Holy Smoke
À L’abordage – Herkes İş Başına,95 Dakika,2020,Fransa,Guillaume Brac,Dram  Komedi,All Hands on Deck
Bedtime Story,99 Dakika,1964,ABD,Ralph Levy,Komedi,Bedtime Story
Sylvia,110 Dakika,2003,Birleşik Krallık,Christine Jeffs,Biyografi  Dram  Romantik,Sylvia
House of Strangers,101 Dakika,1949,ABD,Joseph L. Mankiewicz,Dram  Gerilim  Kara Film  Suç,House of Strangers
Purple Hearts – Kalplerimiz Bir,122 Dakika,2022,ABD,Elizabeth Allen Rosenbaum,Dram  Müzik  Romantik,Purple Hearts
Mashgh-e Shab,86 Dakika,1989,İran,Abbas Kiarostami,Belgesel  Dram,Homework
Barbarian Queen – Barbar Kraliçe,74 Dakika,1985,ABD  Arjantin,Héctor Olivera,Fantastik  Macera,Barbarian Queen
ParaNorman,92 Dakika,2012,ABD,Chris Butler,Aile  Animasyon  Fantastik  Gizem  Komedi  Macera,ParaNorman
Le Mans – Büyük Yarış,106 Dakika,1971,ABD,Lee H. Katzin,Aksiyon  Dram  Macera  Spor,Le Mans
The Call – Acil Arama,96 Dakika,2013,ABD,Brad Anderson,Gerilim,The Call
The Call,2 Dakika,2015,ABD,Calvin Main,Kısa Film  Korku,The Call
Babenco: Alguém Tem que Ouvir o Coração e Dizer Parou – Babenco: Ölünce Haber Ver,75 Dakika,2019,Brezilya,Bárbara Paz,Belgesel  Biyografi,Babenco  Tell Me When I Die
Mumsy Nanny Sonny & Girly,102 Dakika,1970,Birleşik Krallık,Freddie Francis,Komedi  Korku  Suç,Mumsy Nanny Sonny & Girly
Not Just A Girl,88 Dakika,2022,Birleşik Krallık,Joss Crowley,Belgesel,Not Just A Girl
Blue Car – Mavi Araba,96 Dakika,2002,ABD,Karen Moncrieff,Dram,Blue Car
The Witch: Part 2. The Other One,137 Dakika,2022,Güney Kore,Park Hoon-jung,Aksiyon  Gerilim  Gizem,The Witch  Part 2
Planetarium,105 Dakika,2016,Belçika  Fransa,Rebecca Zlotowski,Dram  Fantastik  Gerilim  Gizem  Romantik,Planetarium
Creepshow 3 – Korku Şovu 3,104 Dakika,2006,ABD,Ana Clavell,Fantastik  Komedi  Korku,Creepshow 3
Creepshow 2 – Korku Şovu 2,92 Dakika,1987,ABD,Michael Gornick,Fantastik  Korku,Creepshow 2
Creepshow – Korku Şovu,120 Dakika,1982,ABD,George A. Romero,Fantastik  Komedi  Korku,Creepshow
The Nanny’s Night,75 Dakika,2021,İspanya,Ignacio López,Komedi  Korku,The Nanny's Night
It Happened to Jane,97 Dakika,1959,ABD,Richard Quine,Komedi  Romantik,It Happened to Jane
Murphy’s War – Tek Kişilik Ordu,107 Dakika,1971,Birleşik Krallık,Peter Yates,Dram  Savaş,Murphy's War
Waxwork,95 Dakika,1988,ABD  Almanya  Birleşik Krallık,Anthony Hickox,Komedi  Korku,Waxwork
Watcher,91 Dakika,2022,ABD  Birleşik Arap Emirlikleri  Romanya,Chloe Okuno,Dram  Gerilim  Korku,Watcher
Monkey Shines – Tutku,113 Dakika,1988,ABD,George A. Romero,Bilim Kurgu  Dram  Gerilim  Korku,Monkey Shines
2 Once di Piombo,83 Dakika,1966,Almanya  İtalya,Maurizio Lucidi,Western,My Name Is Pecos
Images – Hayal ve Görüntü,104 Dakika,1972,ABD  Birleşik Krallık,Robert Altman,Dram  Gizem  Korku,Images
La Prima Linea – Ön Cephe,100 Dakika,2009,Belçika  İtalya,Renato De Maria,Biyografi  Dram  Suç,The Front Line
Suddenly – Kör Tuzak,77 Dakika,1954,ABD,Lewis Allen,Dram  Gerilim  Kara Film  Suç,Suddenly
Jerry & Marge Go Large,96 Dakika,2022,ABD,David Frankel,Biyografi  Dram  Komedi,Jerry & Marge Go Large
Dernier Amour,98 Dakika,2019,ABD  Belçika  Fransa,Benoît Jacquot,Dram  Romantik  Tarih,Casanova Last Love
Weldi – Sevgili Oğlum,104 Dakika,2018,Belçika  Fransa  Katar  Tunus,Mohamed Ben Attia,Dram,Dear Son
Le Jeune Ahmed – Genç Ahmed,85 Dakika,2019,Belçika  Fransa,Jean-Pierre Dardenne,Dram,Young Ahmed
Mon Colonel – Albayım,110 Dakika,2006,Belçika  Fransa,Laurent Herbiet,Dram  Savaş  Suç  Tarih,The Colonel
Il Pleut Sur Santiago – Santiago’da Yağmur,112 Dakika,1975,Bulgaristan  Fransa,Helvio Soto,Dram  Gerilim,It's Raining on Santiago
Interview – Görüşme,84 Dakika,2007,ABD  Hollanda  Kanada,Steve Buscemi,Dram,Interview
Black Widow – Dişi Örümcek,95 Dakika,1954,ABD,Nunnally Johnson,Dram  Gizem  Kara Film,Black Widow
A Mighty Heart – Güçlü Bir Yürek,108 Dakika,2007,ABD  Birleşik Krallık,Michael Winterbottom,Biyografi  Dram  Gerilim  Savaş  Tarih,A Mighty Heart
Ken Ki,83 Dakika,1965,Japonya,Kenji Misumi,Aksiyon  Dram,Sword Devil
Ken,95 Dakika,1964,Japonya,Kenji Misumi,Dram,The Sword
Kiru,71 Dakika,1962,Japonya,Kenji Misumi,Aksiyon  Dram,Destiny's Son
She’s Having a Baby – Bebeğimiz Olacak,106 Dakika,1988,ABD,John Hughes,Dram  Komedi  Romantik,She's Having a Baby
Quo Vadis – Ko Vadis,171 Dakika,1951,ABD,Mervyn LeRoy,Biyografi  Dram  Romantik  Tarih,Quo Vadis
Sodom and Gomorrah – Hazreti Lut’un Gazabı,154 Dakika,1962,ABD  Fransa  İtalya,Robert Aldrich,Dram  Macera  Tarih,Sodom and Gomorrah
The Watcher in the Woods – Ormandaki Göz,84 Dakika,1980,ABD  Birleşik Krallık,John Hough,Aile  Gerilim  Gizem  Korku,The Watcher in the Woods
Dark Star – Karanlık Yıldız,83 Dakika,1974,ABD,John Carpenter,Bilim Kurgu  Komedi,Dark Star
A Guy Named Joe – Kahraman Gölge,120 Dakika,1943,ABD,Victor Fleming,Dram  Fantastik  Romantik  Savaş,A Guy Named Joe
Objective Burma!,142 Dakika,1945,ABD,Raoul Walsh,Aksiyon  Dram  Macera  Savaş,Objective Burma!
Elf,97 Dakika,2003,ABD,Jon Favreau,Aile  Fantastik  Komedi  Macera  Romantik,Elf
When We Were Kings – Kelebek Gibi Uçar Arı Gibi Sokarım,88 Dakika,1996,ABD,Leon Gast,Belgesel  Spor,When We Were Kings
Targets – Hedefler,90 Dakika,1968,ABD,Peter Bogdanovich,Dram  Gerilim  Suç,Targets
Springfield Rifle – Ölüm Harbi,93 Dakika,1952,ABD,André De Toth,Gerilim  Savaş  Western,Springfield Rifle
The Man Behind the Gun – Silahlar Çarpışıyor,82 Dakika,1953,ABD,Felix E. Feist,Western,The Man Behind the Gun
Thunder Over the Plains – Yıldırımlar Diyarı,82 Dakika,1953,ABD,André De Toth,Western,Thunder Over the Plains
Speed 2: Cruise Control – Hız Tuzağı 2,121 Dakika,1997,ABD,Jan de Bont,Aksiyon  Gerilim  Macera  Romantik  Suç,Speed 2
Speed – Hız Tuzağı,116 Dakika,1994,ABD,Jan de Bont,Aksiyon  Gerilim  Macera,Speed
Montana,76 Dakika,1950,ABD,Raoul Walsh,Western,Montana
Powder Keg,8 Dakika,2001,ABD,Alejandro González Iñárritu,Aksiyon  Kısa Film,Powder Keg
Chosen,6 Dakika,2001,ABD,Ang Lee,Aksiyon  Kısa Film,Chosen
Hostage,9 Dakika,2002,ABD,John Woo,Aksiyon  Gerilim  Kısa Film  Macera  Suç,Hostage
Beat the Devil,9 Dakika,2002,ABD,Tony Scott,Aksiyon  Kısa Film  Komedi  Macera,Beat the Devil
Ticker,8 Dakika,2002,ABD,Joe Carnahan,Aksiyon  Kısa Film  Macera,Ticker
Ambush,6 Dakika,2001,ABD,John Frankenheimer,Aksiyon  Kısa Film,Ambush
Sex and the Single Girl – Seks ve Genç Kız,110 Dakika,1964,ABD,Richard Quine,Komedi  Romantik,Sex and the Single Girl
The Tuxedo – Smokin,98 Dakika,2002,ABD,Kevin Donovan,Aksiyon  Bilim Kurgu  Komedi,The Tuxedo
Undercover Brother – Çılgın Kahraman,86 Dakika,2002,ABD,Malcolm D. Lee,Aksiyon  Komedi,Undercover Brother
The New Guy – Yeni Öğrenci,88 Dakika,2002,ABD,Ed Decter,Komedi,The New Guy
De Oost,137 Dakika,2020,Hollanda,Jim Taihuttu,Dram  Gerilim  Savaş,The East
De Slag Om de Schelde – Kayıp Savaş,124 Dakika,2020,Belçika  Hollanda  Litvanya,Matthijs van Heijningen Jr.,Dram  Savaş,The Forgotten Battle
Bullitt – Gangsterin Kaderi,114 Dakika,1968,ABD,Peter Yates,Aksiyon  Gerilim  Suç,Bullitt
Krull – Kara Şato,116 Dakika,1983,ABD  Birleşik Krallık  İspanya  İtalya,Peter Yates,Aksiyon  Bilim Kurgu  Fantastik  Macera,Krull
Hachikô Monogatari,107 Dakika,1987,Japonya,Seijiro Koyama,Aile  Dram,Hachi-ko
The Deep – Dip,123 Dakika,1977,ABD,Peter Yates,Gerilim  Gizem  Macera,The Deep
Suspect – Şüpheli,121 Dakika,1987,ABD,Peter Yates,Dram  Gerilim  Suç,Suspect
Johnny Got His Gun – Johnny Askere Gitti,111 Dakika,1971,ABD,Dalton Trumbo,Dram  Savaş,Johnny Got His Gun
The Friends of Eddie Coyle – Eddie Coyle’un Arkadaşları,102 Dakika,1973,ABD,Peter Yates,Dram  Suç,The Friends of Eddie Coyle
An Innocent Man – Suçsuz Bir Adam,113 Dakika,1989,ABD,Peter Yates,Aksiyon  Dram  Gerilim  Suç,An Innocent Man
John and Mary – İki Sevgili,92 Dakika,1969,ABD,Peter Yates,Dram  Romantik,John and Mary
Robbery – Büyük Soygun,110 Dakika,1967,Birleşik Krallık,Peter Yates,Dram  Gizem  Suç,Robbery
Eleni,114 Dakika,1985,ABD,Peter Yates,Dram  Savaş,Eleni
Eyewitness – Şahit,103 Dakika,1981,ABD,Peter Yates,Dram  Gerilim  Gizem  Romantik  Suç,Eyewitness
Madde 438,84 Dakika,1991,Türkiye,Ümit Efekan,Dram  Gerilim,Madde 438
Rakuyôju,105 Dakika,1986,Japonya,Kaneto Shindō,Dram,Tree Without Leaves
The Finishing Touch,19 Dakika,1928,ABD,Clyde Bruckman,Kısa Film  Komedi,The Finishing Touch
Slipping Wives – Kıskanç Eşler,23 Dakika,1927,ABD,Fred Guiol,Kısa Film  Komedi,Slipping Wives
Sailors Beware!,20 Dakika,1927,ABD,Fred Guiol,Kısa Film  Komedi,Sailors Beware!
From Soup to Nuts,20 Dakika,1928,ABD,Edgar Kennedy,Kısa Film  Komedi,From Soup to Nuts
PUBG Ground Zero,9 Dakika,2021,Güney Kore,Kim Ji-yong,Aksiyon  Kısa Film,PUBG Ground Zero
Putting Pants on Philip,20 Dakika,1927,ABD,Clyde Bruckman,Kısa Film  Komedi,Putting Pants on Philip
Schachnovelle – Satranç,110 Dakika,2021,Almanya  Avusturya,Philipp Stölzl,Dram  Gerilim  Savaş,The Royal Game
Schachnovelle – Satranç,103 Dakika,1960,Almanya,Gerd Oswald,Dram  Savaş  Spor,Brainwashed
Senki – Gölgeler,129 Dakika,2007,Almanya  Bulgaristan  İspanya  İtalya  Makedonya,Milcho Manchevski,Dram  Gerilim  Gizem  Korku,Shadows
One-Eyed Jacks – Aşk ve İntikam,141 Dakika,1961,ABD,Marlon Brando,Dram  Western,One-Eyed Jacks
Lahi Hayop – Tür Hayvan,150 Dakika,2020,Filipinler,Lav Diaz,Dram  Suç,Genus Pan
The Wings of the Dove – Güvercinin Kanatları,102 Dakika,1997,ABD  Birleşik Krallık,Iain Softley,Dram  Romantik,The Wings of the Dove
Karnan,158 Dakika,2021,Hindistan,Mari Selvaraj,Aksiyon  Dram,Karnan
Taste of Fear – Korkunç Çığlık,81 Dakika,1961,Birleşik Krallık,Seth Holt,Gerilim  Korku,Scream of Fear
The Tin Star – Teneke Yıldız,93 Dakika,1957,ABD,Anthony Mann,Western,The Tin Star
4:44 Last Day on Earth – 4:44 Dünyanın Son Günü,82 Dakika,2011,ABD,Abel Ferrara,Bilim Kurgu  Dram  Fantastik,4 44 Last Day on Earth
Mes Petites Amoureuses,123 Dakika,1974,Fransa,Jean Eustache,Dram,My Little Loves
Die Augen der Mumie Ma,63 Dakika,1918,Almanya,Ernst Lubitsch,Dram  Korku,Eyes of the Mummy Ma
Black Cadillac,93 Dakika,2003,ABD,John Murlowski,Gerilim  Korku,Black Cadillac
Genbaku No Ko – Hiroşima Çocukları,97 Dakika,1952,Japonya,Kaneto Shindō,Dram  Savaş,Children of Hiroshima
Major League II – Çılgın Beyzbolcular 2,105 Dakika,1994,ABD,David S. Ward,Komedi  Spor,Major League II
Major League – Çılgın Beyzbolcular,107 Dakika,1989,ABD,David S. Ward,Komedi  Spor,Major League
It Happened Tomorrow,85 Dakika,1944,ABD,René Clair,Fantastik  Komedi,It Happened Tomorrow
The Mummy’s Ghost – Mumya’nın Hayaleti,1 Dakika,1944,ABD,Reginald Le Borg,Fantastik  Korku,The Mummy's Ghost
The Mummy’s Curse – Mumya’nın Laneti,60 Dakika,1944,ABD,Leslie Goodwins,Aksiyon  Fantastik  Gerilim  Korku  Romantik,The Mummy's Curse
The Mummy’s Tomb – Mumya’nın Mezarı,61 Dakika,1942,ABD,Harold Young,Dram  Fantastik  Gerilim  Gizem  Korku,The Mummy's Tomb
La Tulipe Noire – Siyah Lale,115 Dakika,1964,Fransa  İspanya  İtalya,Christian-Jaque,Aksiyon  Komedi  Macera,The Black Tulip
Shout at the Devil – Cehennemde Randevu,150 Dakika,1976,Birleşik Krallık,Peter R. Hunt,Aksiyon  Dram  Komedi  Macera  Romantik  Savaş,Shout at the Devil
The Mummy: Tomb of the Dragon Emperor – Mumya: Ejder İmparatoru’nun Mezarı,112 Dakika,2008,ABD  Almanya  Çin  Kanada,Rob Cohen,Aksiyon  Fantastik  Korku  Savaş,The Mummy 3
The Mummy Returns – Mumya Geri Dönüyor,130 Dakika,2001,ABD,Stephen Sommers,Aksiyon  Fantastik  Gerilim  Macera,The Mummy Returns
The Mummy – Mumya,124 Dakika,1999,ABD,Stephen Sommers,Aksiyon  Fantastik  Macera,The Mummy
The Dancer Upstairs – Yukarıdaki Dansçı,132 Dakika,2002,ABD  İspanya,John Malkovich,Dram  Gerilim  Suç,The Dancer Upstairs
The Mummy – Mumya,111 Dakika,2017,ABD  Çin  Japonya,Alex Kurtzman,Aksiyon  Fantastik  Gerilim  Korku  Macera,The Mummy
The War – Savaş,126 Dakika,1994,ABD,Jon Avnet,Dram,The War
Roar,95 Dakika,1981,ABD,Noel Marshall,Gerilim  Komedi  Macera,Roar
The Escapist – Kaçış,102 Dakika,2008,Birleşik Krallık  İrlanda,Rupert Wyatt,Dram  Gerilim  Suç,The Escapist
Ghasideyeh Gave Sefid – Beyaz İnek İçin Balad,105 Dakika,2020,Fransa  İran,Behtash Sanaeeha,Dram,Ballad of a White Cow
Day of the Mummy,81 Dakika,2014,ABD  Venezuela,Johnny Tabor,Korku,Day of the Mummy
Una Moglie Bellissima – Benim Güzel Eşim,96 Dakika,2007,İtalya,Leonardo Pieraccioni,Komedi,A Beautiful Wife
An Eye for an Eye – Göze Göz,106 Dakika,1981,ABD,Steve Carver,Aksiyon  Gerilim  Macera  Suç,An Eye for an Eye
Kedibone,94 Dakika,2020,Güney Afrika,Thomas Gumede,Dram,Kedibone
Un Chapeau de Paille D’Italie,108 Dakika,1928,Fransa,René Clair,Komedi,The Italian Straw Hat
Prix de Beauté (Miss Europe) – Güzellik Ödülü,93 Dakika,1930,Fransa,Augusto Genina,Dram,Beauty Prize
