İSİM,SÜRE,YIL,ÜLKE,YÖNETMEN,TÜR,DİĞER İSMİ
My Dinner with Andre – Andre ile Akşam Yemeği,110 Dakika,1981,ABD,Louis Malle,Dram  Komedi,My Dinner with Andre
Side Street,83 Dakika,1950,ABD,Anthony Mann,Dram  Gerilim  Kara Film  Suç,Side Street
Grey Gardens – Gri Bahçeler,95 Dakika,1976,ABD,Albert Maysles,Belgesel  Dram  Komedi,Grey Gardens
Sibel,95 Dakika,2018,Türkiye,Çağla Zencirci,Dram,Sibel
İşe Yarar Bir Şey,104 Dakika,2017,Türkiye,Pelin Esmer,Dram,İşe Yarar Bir Şey
Baara,90 Dakika,1978,Mali,Souleymane Cissé,Dram,Work
Titicut Follies,84 Dakika,1967,ABD,Frederick Wiseman,Belgesel,Titicut Follies
70-80-90 Masum Küstah Fettan,65 Dakika,2010,Türkiye,Melek Özman,Belgesel,70-80-90 Masum Küstah Fettan
United 93 – Uçuş 93,111 Dakika,2006,ABD  Birleşik Krallık  Fransa,Paul Greengrass,Dram  Gerilim  Tarih,United 93
Dellamorte Dellamore – Mezarcı,105 Dakika,1994,Almanya  Fransa  İtalya,Michele Soavi,Komedi  Korku,Cemetery Man
They Call Me Mister Tibbs!  – Komiser Tibbs,108 Dakika,1970,ABD,Gordon Douglas,Dram  Gizem  Suç,They Call Me Mister Tibbs!
In the Heat of the Night – Gecenin Sıcağında,110 Dakika,1967,ABD,Norman Jewison,Dram  Gerilim  Gizem  Suç,In the Heat of the Night
The World Unseen,93 Dakika,2007,Birleşik Krallık  Güney Afrika,Shamim Sarif,Dram  Romantik,The World Unseen
Här Har Du Ditt Liv – Bu Senin Hayatın,169 Dakika,1966,İsveç,Jan Troell,Dram,Here's Your Life
Cztery Noce z Anna – Anna ile Dört Gece,87 Dakika,2008,Fransa  Polonya,Jerzy Skolimowski,Dram  Gerilim  Korku  Suç,Four Nights with Anna
Kaos,187 Dakika,1984,Fransa  İtalya,Paolo Taviani,Dram  Komedi  Romantik,Chaos
Portrait of Jennie – Hayal Kadın,86 Dakika,1948,ABD,William Dieterle,Dram  Fantastik  Gizem  Romantik,Portrait of Jennie
Peace to Us in Our Dreams – Bize Rüyalarımızda Huzur Ver,107 Dakika,2015,Fransa  Litvanya  Rusya,Šarūnas Bartas,Dram,Peace to Us in Our Dreams
Bent,105 Dakika,1997,Birleşik Krallık,Sean Mathias,Dram  Romantik  Savaş  Tarih,Bent
Duel in the Sun – Kanlı Aşk,129 Dakika,1946,ABD,King Vidor,Dram  Romantik  Western,Duel in the Sun
Frau im Mond – Aydaki Kadın,156 Dakika,1929,Almanya,Fritz Lang,Bilim Kurgu  Dram  Komedi  Romantik,Woman in the Moon
Mang Shan – Kör Dağ,95 Dakika,2007,Çin,Li Yang,Dram  Suç,Blind Mountain
Habemus Papam – Bir Papamız Var,102 Dakika,2011,Fransa  İtalya,Nanni Moretti,Dram  Komedi,We Have a Pope
A Day at the Races – 3 Ahbap Çavuşlar At Yarışlarında Eğleniyor,111 Dakika,1937,ABD,Sam Wood,Komedi  Müzik  Spor,A Day at the Races
Animal Crackers,97 Dakika,1930,ABD,Victor Heerman,Komedi  Müzik,Animal Crackers
Horse Feathers,68 Dakika,1932,ABD,Norman Z. McLeod,Komedi  Müzik  Romantik  Spor,Horse Feathers
The Reckless Moment – Aymazlık Anı,82 Dakika,1949,ABD,Max Ophüls,Dram  Kara Film  Suç,The Reckless Moment
Duck Soup – 3 Ahbap Çavuşlar Harbe Gidiyor,69 Dakika,1933,ABD,Leo McCarey,Komedi  Müzik  Savaş,Duck Soup
A Night at the Opera – 3 Ahbap Çavuşlar Operada,96 Dakika,1935,ABD,Sam Wood,Komedi  Müzik,A Night at the Opera
Ressources Humaines – İnsan Kaynakları,100 Dakika,1999,Birleşik Krallık  Fransa,Laurent Cantet,Dram  Komedi,Human Resources
La Signora Di Tutti – Herkesin Kadını,89 Dakika,1934,İtalya,Max Ophüls,Dram,Everybody's Woman
Divine,82 Dakika,1935,Fransa,Max Ophüls,Dram  Komedi,Divine
La Tendre Ennemie,69 Dakika,1936,Fransa,Max Ophüls,Fantastik  Komedi  Romantik,The Tender Enemy
Lola Montes,116 Dakika,1955,Almanya  Fransa,Max Ophüls,Biyografi  Dram  Romantik,Lola Montès
Caught – Aşk ve Cürüm,88 Dakika,1949,ABD,Max Ophüls,Dram  Kara Film  Romantik,Caught
La Ronde – Halka,93 Dakika,1950,Fransa,Max Ophüls,Dram  Romantik,La Ronde
Wilde,118 Dakika,1997,Almanya  Birleşik Krallık  Japonya,Brian Gilbert,Biyografi  Dram  Romantik,Oscar Wilde
Il Deserto Dei Tartari – Tatar Çölü,140 Dakika,1976,Almanya  Fransa  İtalya,Valerio Zurlini,Dram  Savaş  Tarih,The Desert of the Tartars
Palombella Rossa – Kızıl Güvercin,89 Dakika,1989,İtalya,Nanni Moretti,Komedi  Spor,Red Lob
The Curse of the Cat People,70 Dakika,1944,ABD,Robert Wise,Dram  Gizem  Korku,The Curse of the Cat People
Cat People – Kedi İnsan,73 Dakika,1942,ABD,Jacques Tourneur,Fantastik  Gerilim  Korku,Cat People
Ta’m e Guilass – Kirazın Tadı,95 Dakika,1997,Fransa  İran,Abbas Kiarostami,Dram,Taste of Cherry
Bad Ma Ra Khahad Bord – Rüzgar Bizi Sürükleyecek,118 Dakika,1999,Fransa  İran,Abbas Kiarostami,Dram,The Wind Will Carry Us
Km. 0,108 Dakika,2000,İspanya,Juan Luis Iborra,Dram  Komedi  Romantik,Kilometer Zero
U-ri-deul – Bizim Dünyamız,95 Dakika,2016,Güney Kore,Yoon Ga-eun,Aile  Dram,The World Of Us
The Gorgon – Medusa,83 Dakika,1964,Birleşik Krallık,Terence Fisher,Korku,The Gorgon
Seishun Zankoku Monogatari – Gençliğin Acımasız Öyküsü,96 Dakika,1960,Japonya,Nagisa Ōshima,Dram  Suç,Cruel Story of Youth
Panj e Asr – Öğleden Sonra Beşte,105 Dakika,2003,Fransa  İran,Samira Makhmalbaf,Dram,At Five in the Afternoon
Io La Conoscevo Bene – İyi Tanıdığım Kız,115 Dakika,1965,Almanya  Fransa  İtalya,Antonio Pietrangeli,Dram,I Knew Her Well
La Mort En Direct – Ölümü Beklerken,130 Dakika,1980,Almanya  Fransa,Bertrand Tavernier,Bilim Kurgu  Dram  Gerilim,Death Watch
Une Femme Douce – Tatlı Bir Kadın,88 Dakika,1969,Fransa,Robert Bresson,Dram  Romantik,A Gentle Woman
La Nuit De Varennes – Varennes Gecesi,150 Dakika,1982,Fransa  İtalya,Ettore Scola,Dram  Tarih,The Night of Varennes
Opening Night – Açılış Gecesi,144 Dakika,1977,ABD,John Cassavetes,Dram,Opening Night
Liebelei – Bir Aşk Hikayesi,88 Dakika,1933,Almanya,Max Ophüls,Dram  Romantik,Liebelei
Sib – Elma,86 Dakika,1998,Fransa  İran,Samira Makhmalbaf,Dram,The Apple
Husbands – Kocalar,131 Dakika,1970,ABD,John Cassavetes,Dram  Komedi,Husbands
